track_id,track_name,Album Name,track_artist,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,playlist_genre,Record Label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,playlist_subgenre,playlist_name,gemini_review,small_text,text
spotify:track:4LKYOetuIF5c9XjeLBL9av,Naked In Manhattan,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,211057,73,True,,2025-10-20T01:49:59Z,,Chappell Roan PS/ Island,0.771,0.704,1,-5.098,1,0.0315,0.0835,0.0,0.0935,0.55,118.01,4,,,,,Naked In Manhattan by Chappell Roan. .
spotify:track:4XNrMwGx1SqP01sqkGTDmo,One More Night,Overexposed (Deluxe),Maroon 5,2012-01-01,219466,75,False,,2025-10-20T01:49:53Z,pop,Interscope Records*,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,4,,,,,One More Night by Maroon 5. pop .
spotify:track:7dhB1xznh2bbCWrFjCSH5x,Used To Love You,This Is What The Truth Feels Like,Gwen Stefani,2016-04-01,227680,35,False,,2025-10-14T03:06:22Z,,Gwen Stefani / Benny Blanco PS,0.623,0.654,8,-5.408,1,0.0674,0.0183,1.73e-06,0.398,0.193,96.017,4,,,,,Used To Love You by Gwen Stefani. .
spotify:track:4alHo6RGd0D3OUbTPExTHN,Just What I Needed,The Cars,The Cars,1978-06-06,225626,70,False,,2025-10-03T20:14:51Z,"power pop,new wave,classic rock",Elektra Records,0.62,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.691,127.215,4,,,,,"Just What I Needed by The Cars. power pop,new wave,classic rock ."
spotify:track:78Uo6eJIPkVo4Xw848NCN7,Time,Time,Olivia Dean,2024-06-26,224000,71,False,,2025-09-29T02:08:34Z,pop soul,PLG - Capitol,0.476,0.529,8,-6.193,1,0.0554,0.573,0.00841,0.098,0.255,169.945,4,,,,,Time by Olivia Dean. pop soul .
spotify:track:55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,WHERE IS MY HUSBAND!,RAYE,2025-09-19,196795,95,False,,2025-09-23T18:55:24Z,,Human Re Sources,0.39,0.781,8,-7.04,1,0.0918,0.0599,0.0,0.14,0.628,115.939,4,,,,,WHERE IS MY HUSBAND! by RAYE. .
spotify:track:4njA2J9f9szcRrevHgnT0a,Aces,Aces,The Something Specials;Taylor Olin,2023-11-10,217717,51,False,,2025-09-05T02:33:57Z,,Fruit Street Records,0.6,0.627,7,-6.553,1,0.0263,0.336,6.02e-06,0.429,0.241,109.035,4,,,,,Aces by The Something Specials;Taylor Olin. .
spotify:track:5XMjXjwCkJVmk0AHm7z8IV,Jerk It Out,Love For The Streets,Caesars,2002,195666,71,False,,2025-08-14T13:09:05Z,,Parlophone Sweden,0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,4,,,,,Jerk It Out by Caesars. .
spotify:track:7KtF9ssFK2J3jecp3zppDP,tyrant x all night,tyrant x all night,brown eyed girl,2025-07-10,257142,56,False,,2025-08-12T19:32:25Z,,X Records,0.75,0.526,11,-7.335,1,0.0393,0.0785,0.0,0.106,0.783,125.977,4,,,,,tyrant x all night by brown eyed girl. .
spotify:track:6MrLkXsMmHaYt680fhJUAq,12 to 12,12 to 12,sombr,2025-07-24,242903,85,False,,2025-08-09T03:25:16Z,,Warner Records,0.656,0.902,11,-2.586,0,0.057,0.0118,5.89e-06,0.0949,0.505,123.981,4,,,,,12 to 12 by sombr. .
spotify:track:0Tcy9RRWvcnqepvmVcqv05,Black Out Days - Subtronics Remix,Black Out Days (Subtronics Remix),Phantogram;Subtronics,2023-06-16,208457,61,False,,2025-08-08T20:30:17Z,"riddim,dubstep,edm,deathstep,bass music,dub,techno",Universal Records,0.473,0.974,4,-3.554,0,0.0782,0.00161,0.891,0.166,0.105,175.097,4,,,,,"Black Out Days - Subtronics Remix by Phantogram;Subtronics. riddim,dubstep,edm,deathstep,bass music,dub,techno ."
spotify:track:25s2Q50d7ahhF7rMoGZkzF,On This Love,On This Love,Suki Waterhouse,2025-05-01,169903,47,False,,2025-08-05T03:38:17Z,,Sub Pop Records,0.374,0.605,7,-6.229,0,0.032,0.3,9.94e-05,0.0662,0.448,156.004,3,,,,,On This Love by Suki Waterhouse. .
spotify:track:6knYNyQupBIbBxV8TMOMYM,My Blood,Halcyon,Ellie Goulding,2012-01-01,234184,57,False,,2025-08-03T02:04:11Z,,Polydor Records,0.476,0.592,9,-5.283,0,0.029,0.556,0.0,0.281,0.306,87.003,4,,,,,My Blood by Ellie Goulding. .
spotify:track:6hQ9Z0D5IEvL5rVb4c2Oov,No I'm not in love,So Close To What,Tate McRae,2025-02-24,170097,64,False,,2025-07-31T17:51:11Z,,RCA Records Label,0.753,0.748,5,-3.585,0,0.0458,0.371,0.0,0.192,0.883,105.058,4,,,,,No I'm not in love by Tate McRae. .
spotify:track:2sbtixigDCbjXBTMRSEECS,Green Light - Chromeo Remix,Green Light (Chromeo Remix),Lorde;Chromeo,2017-05-19,247933,54,False,,2025-07-29T22:16:11Z,"nu disco,alternative dance",Universal Music New Zealand Limited,0.794,0.88,2,-4.734,1,0.037,0.0414,1.88e-06,0.0958,0.866,121.009,4,,,,,"Green Light - Chromeo Remix by Lorde;Chromeo. nu disco,alternative dance ."
spotify:track:5Hc35BziLaXfLebKmds2FV,Drew Barrymore - Crankdat Remix,Drew Barrymore EP,Bryce Vine;Crankdat,2018-08-17,246315,45,True,,2025-07-27T21:58:56Z,"dubstep,riddim,deathstep,edm",Sire,0.597,0.824,11,-4.846,0,0.0946,0.0933,1.94e-05,0.114,0.297,152.011,4,,,,,"Drew Barrymore - Crankdat Remix by Bryce Vine;Crankdat. dubstep,riddim,deathstep,edm ."
spotify:track:7bIq1v8svANsAys7I694Up,Heaven On My Mind (with Sigala),Heaven On My Mind (with Sigala),Becky Hill;Sigala,2020-06-25,192573,51,False,,2025-07-27T21:58:11Z,,Polydor Records,0.71,0.891,0,-3.116,0,0.0749,0.0313,0.0,0.365,0.705,125.024,4,,,,,Heaven On My Mind (with Sigala) by Becky Hill;Sigala. .
spotify:track:45mVT3DCE7AATXgESSdfee,Don't You Worry Baby (feat. Madison McFerrin),DON'T TAP THE GLASS,"Tyler, The Creator;Madison McFerrin",2025-07-21,178135,73,True,,2025-07-27T21:45:38Z,alternative r&b,Columbia,0.665,0.786,6,-5.34,0,0.0526,0.0625,0.0,0.715,0.456,118.641,4,,,,,"Don't You Worry Baby (feat. Madison McFerrin) by Tyler, The Creator;Madison McFerrin. alternative r&b ."
spotify:track:1lTqq0aC6r2bXLviQ3oaVt,Ring Ring Ring,DON'T TAP THE GLASS,"Tyler, The Creator",2025-07-21,201869,79,True,,2025-07-27T21:42:13Z,,Columbia,0.756,0.718,6,-5.867,1,0.0531,0.246,0.0,0.601,0.69,119.022,4,,,,,"Ring Ring Ring by Tyler, The Creator. ."
spotify:track:5nFyaoBWwwMJ9fv33tZ2MB,What I Need (feat. Kehlani),Expectations,Hayley Kiyoko;Kehlani,2018-03-30,219520,50,False,,2025-07-27T21:33:10Z,,Atlantic Records,0.633,0.793,10,-4.126,1,0.055,0.0537,0.0,0.16,0.414,103.97,4,,,,,What I Need (feat. Kehlani) by Hayley Kiyoko;Kehlani. .
spotify:track:1ucpv4HFmmhcYZeMZxuB6i,La Di Da - Aaron Redding Remix,La Di Da (Aaron Redding Remix),Lennon Stella;Aaron Redding,2019-02-08,226506,33,False,,2025-07-27T21:31:33Z,,Records/Columbia,0.559,0.744,7,-5.71,1,0.0482,0.497,0.0,0.083,0.347,160.016,4,,,,,La Di Da - Aaron Redding Remix by Lennon Stella;Aaron Redding. .
spotify:track:7CH8J4ulT49UfZwSDSkSZA,i miss u (with Au/Ra),i miss u (with Au/Ra),Jax Jones;Au/Ra,2020-10-09,172143,58,False,,2025-07-27T21:31:28Z,,Polydor Records,0.668,0.726,9,-7.512,1,0.0468,0.0387,0.0,0.134,0.453,124.075,4,,,,,i miss u (with Au/Ra) by Jax Jones;Au/Ra. .
spotify:track:6siDDghVE7fxel5o7fE4OF,Sweater Weather,Sweater Weather,Gaullin;Julian Perretta,2019-11-01,171133,54,False,,2025-07-27T21:31:24Z,slap house,Columbia/B1 Recordings,0.57,0.873,5,-5.188,0,0.07,0.00853,0.0,0.365,0.236,125.086,4,,,,,Sweater Weather by Gaullin;Julian Perretta. slap house .
spotify:track:75kMrDKPJJpgEQaXVh7QMB,Pray to God (feat. HAIM),Motion,Calvin Harris;HAIM,2014-10-31,232226,63,False,,2025-07-27T21:31:12Z,edm,Columbia,0.606,0.949,7,-2.749,0,0.0414,0.015,2.76e-05,0.109,0.436,120.031,4,,,,,Pray to God (feat. HAIM) by Calvin Harris;HAIM. edm .
spotify:track:6mfM11rZkoXsU5xAArF4Ix,Like The Old Days,Like The Old Days,Barry Can't Swim,2022-11-15,240041,55,False,,2025-07-20T23:57:21Z,jazz house,Technicolour,0.653,0.787,0,-10.383,1,0.039,0.00356,0.841,0.264,0.631,121.991,4,,,,,Like The Old Days by Barry Can't Swim. jazz house .
spotify:track:7lbHonrDmzduOTFLO3wLKD,Oh Lala,Oh Lala,Justine Skye;KAYTRANADA,2025-05-29,230031,54,False,,2025-07-15T14:45:58Z,,Warner Records,0.711,0.711,2,-9.43,1,0.0412,0.0185,2.89e-05,0.16,0.227,120.0,4,,,,,Oh Lala by Justine Skye;KAYTRANADA. .
spotify:track:5iR8v6fTc33LDo2t4w3342,Futile Devices (Doveman Remix),Call Me by Your Name (Original Motion Picture Soundtrack),Sufjan Stevens,2017-11-03,135443,64,False,,2025-07-14T03:18:07Z,baroque pop,Madison Gate Records,0.462,0.187,4,-19.991,1,0.0304,0.954,0.847,0.0985,0.252,140.096,4,,,,,Futile Devices (Doveman Remix) by Sufjan Stevens. baroque pop .
spotify:track:0pwIbDtddJhPSyLaWecP9j,Summer Song,Summer Song,Remy Bond,2024-06-28,245504,59,True,,2025-07-13T14:06:17Z,,Warner Records,0.502,0.415,6,-8.144,1,0.029,0.709,0.111,0.155,0.234,138.013,4,,,,,Summer Song by Remy Bond. .
spotify:track:6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over",Grace,Jeff Buckley,1994,404213,84,False,,2025-07-11T04:31:18Z,,Columbia/Legacy,0.387,0.595,2,-5.67,1,0.0389,0.361,1.1e-05,0.174,0.151,119.38,3,,,,,"Lover, You Should've Come Over by Jeff Buckley. ."
spotify:track:1Cwsd5xI8CajJz795oy4XF,You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,1998-01-01,300773,82,False,,2025-07-11T04:29:30Z,,Geffen*,0.621,0.901,2,-5.396,1,0.0302,0.17,0.0,0.0875,0.744,113.967,4,,,,,You Get What You Give by New Radicals. .
spotify:track:3WVhkjB7Y4xFruqoCAajBb,Sue Me,Singular Act I,Sabrina Carpenter,2018-11-09,179226,66,False,,2025-06-30T20:31:52Z,pop,Hollywood Records,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,4,,,,,Sue Me by Sabrina Carpenter. pop .
spotify:track:7BealzdBgyVTT41XFqm8uQ,Mister Bare Minimum,Forever Young,KTJ & CARLY,2024-09-26,190500,2,True,,2025-06-29T02:44:31Z,,Head Bitch Music,0.525,0.725,2,-3.082,1,0.055,0.00226,0.0,0.305,0.13,126.597,4,,,,,Mister Bare Minimum by KTJ & CARLY. .
spotify:track:1uq1pf0UdjGmfbPqIpPg5K,Mad,Mad,Reneé Rapp,2025-06-27,174969,34,True,,2025-06-29T01:50:20Z,,Interscope Records,0.466,0.671,9,-5.436,1,0.077,0.0292,0.00282,0.09,0.717,180.031,4,,,,,Mad by Reneé Rapp. .
spotify:track:6xCKXznjcHv2hZWDA0pRIe,Broken Glass,Virgin,Lorde,2025-06-27,194038,66,False,,2025-06-28T21:52:47Z,,Universal Music New Zealand Limited,0.54,0.513,7,-5.695,1,0.458,0.452,0.0,0.168,0.654,64.976,4,,,,,Broken Glass by Lorde. .
spotify:track:3EL4YcUAmGkfTKXhS49Y3w,Suzanne,Suzanne,Mark Ronson;RAYE,2025-06-13,235328,76,False,,2025-06-28T21:47:06Z,,Columbia,0.672,0.715,1,-4.19,1,0.0638,0.0561,5.89e-06,0.115,0.641,99.014,4,,,,,Suzanne by Mark Ronson;RAYE. .
spotify:track:7EZqP4bbyi01mJz1wgW5wn,Mistakes,Copper Changes Color,Caamp,2025-06-06,198600,50,False,,2025-06-26T17:51:44Z,"indie folk,folk",Mom+Pop,0.292,0.765,5,-7.479,1,0.0335,0.00272,0.0498,0.127,0.94,78.277,4,,,,,"Mistakes by Caamp. indie folk,folk ."
spotify:track:42UBPzRMh5yyz0EDPr6fr1,Manchild,Manchild,Sabrina Carpenter,2025-06-05,213645,86,True,,2025-06-07T19:47:41Z,pop,Island Records,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4,,,,,Manchild by Sabrina Carpenter. pop .
spotify:track:2rvd6akG8qEtBNUvQpN7iY,How Bad Do U Want Me,MAYHEM,Lady Gaga,2025-03-07,238886,75,True,,2025-06-01T00:25:00Z,"art pop,pop",Interscope Records,0.512,0.731,8,-4.339,1,0.0659,0.00261,0.0,0.0896,0.436,188.074,4,,,,,"How Bad Do U Want Me by Lady Gaga. art pop,pop ."
spotify:track:0ElVpg9XIswx3XWs6kUj6a,Zombieboy,MAYHEM,Lady Gaga,2025-03-07,213337,69,False,,2025-06-01T00:24:59Z,"art pop,pop",Interscope Records,0.606,0.885,0,-3.922,0,0.0516,0.00268,0.0,0.212,0.875,122.092,4,,,,,"Zombieboy by Lady Gaga. art pop,pop ."
spotify:track:4mUR5Tv0CvJtpmnUtzeIgd,Garden Of Eden,MAYHEM,Lady Gaga,2025-03-07,239720,75,False,,2025-06-01T00:24:57Z,"art pop,pop",Interscope Records,0.673,0.906,1,-3.972,1,0.0338,0.00181,3.2e-06,0.133,0.614,124.966,4,,,,,"Garden Of Eden by Lady Gaga. art pop,pop ."
spotify:track:4EJjVfB2pQNn0ZFe1DgUOX,Walk of Fame (feat. Brittany Howard),Something Beautiful,Miley Cyrus;Brittany Howard,2025-05-30,360405,59,False,,2025-05-30T20:37:41Z,,Columbia,0.551,0.938,10,-2.63,0,0.0735,0.00284,3.14e-05,0.0965,0.746,127.523,4,,,,,Walk of Fame (feat. Brittany Howard) by Miley Cyrus;Brittany Howard. .
spotify:track:2rDMtmPctM67hICAZTKAjx,End of the World,Something Beautiful,Miley Cyrus,2025-05-30,250483,67,False,,2025-05-30T20:35:57Z,,Columbia,0.586,0.823,1,-3.46,1,0.0322,0.0268,0.0,0.477,0.485,121.492,4,,,,,End of the World by Miley Cyrus. .
spotify:track:1fSsvsKdkcSY63hO0FWHyh,Hope We Have Fun.,Hope We Have Fun,Mt. Joy,2025-05-30,156019,47,False,,2025-05-30T16:00:14Z,,Bloomfield Records,0.732,0.275,6,-12.774,1,0.053,0.887,0.0408,0.105,0.288,121.032,4,,,,,Hope We Have Fun. by Mt. Joy. .
spotify:track:4yBNsUmpb39CN0aaEQy7fl,You Are Who She Loves,Hope We Have Fun,Mt. Joy,2025-05-30,173808,41,False,,2025-05-30T16:00:10Z,,Bloomfield Records,0.504,0.26,0,-13.268,1,0.0304,0.872,0.34,0.0815,0.0734,116.334,4,,,,,You Are Who She Loves by Mt. Joy. .
spotify:track:0ioUYW5ElXz3kvCQjOOuGf,Wild and Rotten,Hope We Have Fun,Mt. Joy;Nathaniel Rateliff,2025-05-30,233103,49,False,,2025-05-30T16:00:06Z,"indie folk,americana",Bloomfield Records,0.445,0.387,6,-10.354,1,0.0437,0.507,4.66e-05,0.103,0.288,140.253,4,,,,,"Wild and Rotten by Mt. Joy;Nathaniel Rateliff. indie folk,americana ."
spotify:track:4cTX15WBUn0Eqro5xaZlvA,Groove In Gotham,Hope We Have Fun,Mt. Joy,2025-05-30,205103,46,False,,2025-05-30T16:00:04Z,,Bloomfield Records,0.488,0.831,6,-7.574,1,0.0971,0.555,0.901,0.122,0.89,146.971,4,,,,,Groove In Gotham by Mt. Joy. .
spotify:track:72MFKUYtXb8q0Q17REhtCx,Pink Lady,Hope We Have Fun,Mt. Joy,2025-05-30,161831,50,False,,2025-05-30T15:59:59Z,,Bloomfield Records,0.517,0.654,1,-6.705,1,0.113,0.682,0.0269,0.129,0.668,123.575,4,,,,,Pink Lady by Mt. Joy. .
spotify:track:3nmvNpobyMN4Ggw7tYcqSF,In The Middle,Hope We Have Fun,Mt. Joy;Gigi Perez,2025-05-30,179900,61,False,,2025-05-30T15:59:55Z,,Bloomfield Records,0.534,0.615,2,-6.057,1,0.0323,0.109,1e-06,0.163,0.363,170.236,4,,,,,In The Middle by Mt. Joy;Gigi Perez. .
spotify:track:5ecZWU5uQOiCVSnPxBZNmT,7 Things - Single Version,Breakout,Miley Cyrus,2008-01-01,213453,62,False,,2025-05-30T15:59:24Z,,Hollywood Records,0.59,0.903,1,-4.478,0,0.0363,0.0232,0.0,0.0786,0.542,107.023,4,,,,,7 Things - Single Version by Miley Cyrus. .
spotify:track:04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),I’m The Problem,Morgan Wallen;Tate McRae,2025-05-16,184517,86,False,,2025-05-30T15:59:21Z,country,Big Loud Records / Mercury Records / Republic Records,0.657,0.699,9,-3.92,1,0.0262,0.639,0.0,0.148,0.495,115.998,4,,,,,What I Want (feat. Tate McRae) by Morgan Wallen;Tate McRae. country .
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,Be the One,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,202914,76,False,,2025-05-30T15:59:14Z,pop,Warner Records,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,4,,,,,Be the One by Dua Lipa. pop .
spotify:track:3MYz54tDi5fnEJjjCfPPlZ,Golden Burning Sun,Something Beautiful,Miley Cyrus,2025-05-30,294193,56,False,,2025-05-30T15:59:12Z,,Columbia,0.455,0.742,6,-3.745,1,0.0435,0.389,0.0,0.0953,0.255,119.983,4,,,,,Golden Burning Sun by Miley Cyrus. .
spotify:track:22WFoPT9VIJlZ0VcJVkCpm,Every Girl You've Ever Loved (feat. Naomi Campbell),Something Beautiful,Miley Cyrus;Naomi Campbell,2025-05-30,318249,56,False,,2025-05-30T15:59:10Z,,Columbia,0.498,0.896,8,-3.359,0,0.203,0.03,1.05e-05,0.264,0.433,123.834,4,,,,,Every Girl You've Ever Loved (feat. Naomi Campbell) by Miley Cyrus;Naomi Campbell. .
spotify:track:0D7ptTqe5bFfHPn2PWJWoC,Pretend You're God,Something Beautiful,Miley Cyrus,2025-05-30,279330,50,False,,2025-05-30T15:59:01Z,,Columbia,0.35,0.916,10,-4.537,0,0.124,0.0322,0.000653,0.4,0.187,93.591,4,,,,,Pretend You're God by Miley Cyrus. .
spotify:track:1BDLD4c07q0bmq2VCRsXoE,I Ain't Comin' Back (feat. Post Malone),I’m The Problem,Morgan Wallen;Post Malone,2025-05-16,175271,73,False,,2025-05-30T15:58:46Z,country,Big Loud Records / Mercury Records / Republic Records,0.372,0.727,11,-4.9,1,0.0358,0.566,0.0,0.298,0.741,200.363,4,,,,,I Ain't Comin' Back (feat. Post Malone) by Morgan Wallen;Post Malone. country .
spotify:track:5zdUc1JRCImBYcDWgvFNpE,Caught Up,Confessions (Expanded Edition),USHER,2004-03-23,224640,65,False,,2025-05-27T17:37:25Z,r&b,LaFace Records,0.817,0.806,6,-4.606,1,0.0623,0.027,9e-06,0.119,0.805,110.086,4,,,,,Caught Up by USHER. r&b .
spotify:track:78nx0HDJIFD5xDq2L5420Z,Blessings,Blessings,Calvin Harris;Clementine Douglas,2025-05-09,219650,84,False,,2025-05-19T21:07:20Z,edm,Columbia,0.721,0.875,11,-4.125,0,0.0557,0.0022,0.0285,0.0888,0.642,129.913,4,,,,,Blessings by Calvin Harris;Clementine Douglas. edm .
spotify:track:0QkWikH5Z3U0f79T9iuF6c,Judas,Born This Way,Lady Gaga,2011-01-01,249066,75,False,,2025-05-19T17:41:12Z,"art pop,pop",Interscope,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.58e-05,0.355,0.535,130.999,4,,,,,"Judas by Lady Gaga. art pop,pop ."
spotify:track:2jNyiavSywmA472t2m6ZBz,What Was That,What Was That,Lorde,2025-04-24,209286,30,False,,2025-05-19T17:41:02Z,,Universal Music New Zealand Limited,0.44,0.615,0,-6.768,1,0.347,0.321,3.38e-05,0.102,0.161,168.152,5,,,,,What Was That by Lorde. .
spotify:track:2fMtXRKJDPtT8Xs4EJkBQh,Baby Baby,Baby Baby,Noizu,2019-09-20,190080,52,False,,2025-05-16T23:03:14Z,"tech house,house",Techne,0.627,0.948,7,-4.478,1,0.0428,0.00354,0.551,0.0599,0.569,125.048,4,,,,,"Baby Baby by Noizu. tech house,house ."
spotify:track:2n6qz4opcJlHsEpI8030YM,Check Out,Check Out,J. Worra;Leo Stannard,2021-11-05,174138,65,False,,2025-05-16T22:57:53Z,house,Higher Ground,0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0,4,,,,,Check Out by J. Worra;Leo Stannard. house .
spotify:track:0FBdJP7yzvq88bG1keGgt4,High and I Like it,High and I Like it,it's murph;Evalyn,2023-12-01,223379,64,False,,2025-05-16T22:49:18Z,"stutter house,house",Darkroom Records,0.815,0.753,1,-4.761,1,0.0555,0.0713,0.272,0.0793,0.637,127.992,1,,,,,"High and I Like it by it's murph;Evalyn. stutter house,house ."
spotify:track:6MRUQNjaUud1TiFBRV8HNq,Tell Me What You Want,Tell Me What You Want,Oden & Fatzo;Poppy Baskcomb,2024-06-14,160314,4,False,,2025-05-04T19:16:59Z,"house,disco house,drum and bass",Defected Records,0.765,0.811,1,-6.586,1,0.0482,0.00422,0.0,0.0699,0.766,127.925,4,,,,,"Tell Me What You Want by Oden & Fatzo;Poppy Baskcomb. house,disco house,drum and bass ."
spotify:track:1y62v08lkqdPTBj7si8tnA,Yamore - Edit Version,Yamore (Edit Version),MoBlack;Salif Keita;Benja (NL);Franc Fala;Cesária Evora,2024-09-20,150000,69,False,,2025-05-04T19:08:06Z,"afro house,afro tech,afropop,fado",Universal Music Division Decca Records France,0.803,0.539,11,-9.663,1,0.0523,0.0106,0.0444,0.0447,0.221,119.995,4,,,,,"Yamore - Edit Version by MoBlack;Salif Keita;Benja (NL);Franc Fala;Cesária Evora. afro house,afro tech,afropop,fado ."
spotify:track:7phmBo7bB9I9YifAXqnlqV,I Wrote The Book,One Thing At A Time,Morgan Wallen,2023-03-03,181766,12,False,,2025-05-02T12:49:35Z,country,Big Loud Records / Mercury Records / Republic Records,0.686,0.833,2,-3.768,1,0.0381,0.0619,3.76e-05,0.0657,0.833,143.965,4,,,,,I Wrote The Book by Morgan Wallen. country .
