track_id,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,instrumentalness,mode,key,acousticness,playlist_subgenre,rating,small_text,review,gemini_review
1BJJbSX6muJVF2AK7uH1x4,0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4.0,0.042,86,move,Today's Top Hits,Move,0.336,0.0,8.0,0.0563,mainstream,7.8,"Living on the New Hampshire seacoast, I can relate to the state of mind that might drive one to bossa ...","Living on the New Hampshire seacoast, I can relate to the state of mind that might drive one to bossa nova music. I was on the beach this weekend on a sunny day, and the air was still freezing. The local clam shack and ice cream stand had opened but the people in line were wearing windbreakers; this year's scoop girls are only just starting to build the biceps that they'll take to school next fall.It doesn't get hot enough in Portland, Oregon for music like this, and maybe that's why Chad Crouch and Blanket Music recorded Move in the South Pacific, on balmy Island 734-001 of the Bikini Atoll. They're joined by the beautiful voices of Esperanza Spalding (of Noise for Pretend) and Corrina Repp, who sound as smooth as ice against a hot torso. ""Shut up and sway your hips,"" they implore, and the tropical songs and warm recording couldn't sound more like an afternoon at a bar by the beach. They even put a cocktail umbrella in the spine of the disc, to illustrate what you're missing.Crouch says this is party music, and it is, though it's also good hangover music: soothing and free of shrill noise. The hooks are so subtle and laid-back that it can take a few listens to appreciate Crouch's catchy songwriting-- most notably on ""K - A - R - A [breathless] O - K [keep it coming] EEEeeeeeeeee,"" where his droopy-dog vocals and clever lyrics dance over a catchy guitar riff. Greg Lind's drumming is limber but restrained, and even the drum machine that augments the music is nicely integrated-- as on the hot jazz-meets-IDM ""Itchy Popcorn,"" which builds to speaker-shaking bass. Crouch is a low-key frontman with a thin, melodic voice, perfect for the tone of this record, and he and Ross Seligman play killer staccato lines on guitar.I'd expect American bossa nova to be as bad as other Americanized ethnic creations, like American ska, or American chop suey. In addition to having a stand-up band, Crouch succeeds by not pretending to be anything he isn't-- instead of posing as a smooth island loverboy, he sticks to wry lyrics and mundane topics. He has three jobs: as a musician, as a designer, and as the head of this label; and he likes to talk about the need to slow down. Like the 'to do' list that's set to a beautiful tune on ""Walk the Dog,"" or his potshots at hip visual artists in ""Hot Designers."" He writes witty love songs about (though not necessarily to) his ""incredible"" girlfriend, who he describes so sweetly in the liner notes that I winced hoping they haven't broken up since this came out. For example, the cutesy interplay in ""Tap the Beat"" (He: ""And if I lost my legs..."" She: ""I would put you on my back/ And I would grab things off the shelf for you""). Hey, guys, get a room!On a song like ""Costa Del Sol"" there's genuine yearning in Crouch's voice, the note of sincerity that makes it compelling and not just exotic. What does he yearn for? Maybe his girlfriend, though she probably hangs around plenty; maybe something as global as world peace, as on ""Get Togetha."" But more than anything, it sounds like Crouch wanted to vacation in a warm place and to party. And on the defrosting boardwalks, in the last gusts of New England's waning chill, that's good enough for me.",
3tFed7YsjGnIfxeLEQwx3R,0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4.0,0.461,88,chromakopia,Today's Top Hits,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",0.0,1.0,1.0,0.285,mainstream,,,,
2qSkIjg1o9h3YT9RAgYN75,0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,4.0,0.0285,90,espresso,Today's Top Hits,Espresso,6.54e-05,1.0,0.0,0.107,mainstream,,,,
2CspwnypzT7rcWI9RfsoSb,0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4.0,0.0432,89,mantra,Today's Top Hits,Mantra,1.15e-05,0.0,10.0,0.00434,mainstream,,,,
0l0vcZMU7AOeQmUIREoI2U,0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4.0,0.204,82,cosa nuestra,Today's Top Hits,Qué Pasaría...,1.27e-05,0.0,4.0,0.528,mainstream,,,,
2c7z5oRcPBbqRaBY2mLWcf,0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,4.0,0.101,85,hardstone psycho,Today's Top Hits,NEW DROP,0.0209,0.0,4.0,0.189,mainstream,,,,
7221xIgOnuakPdLqT0F3nP,0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4.0,0.0264,84,i had some help,Today's Top Hits,I Had Some Help (Feat. Morgan Wallen),0.0,1.0,7.0,0.00757,mainstream,,,,
4IadxL6BUymXlh8RCJJu7T,0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,4.0,0.0412,77,unheard,Today's Top Hits,Too Sweet,0.000809,1.0,10.0,0.0295,mainstream,,,,
3siwsiaEoU4Kuuc9WKMUy5,0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,4.0,0.0278,84,submarine,Today's Top Hits,No One Noticed,0.0814,1.0,7.0,0.552,mainstream,,,,
1cOboCuWYI2osTOfolMRS6,0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3.0,0.0784,93,tu boda,Today's Top Hits,Tu Boda,1.36e-05,1.0,6.0,0.496,mainstream,,,,
3Vr3zh0r7ALn8VLqCiRR10,0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4.0,0.0295,88,stargazing,Today's Top Hits,Stargazing,0.0,0.0,1.0,0.246,mainstream,,,,
4VI2Y5xg4gYynQqNQNQbTN,0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4.0,0.363,70,whatchu kno about me (with sexyy red),Today's Top Hits,WHATCHU KNO ABOUT ME (with Sexyy Red),0.0,1.0,1.0,0.00586,mainstream,,,,
46kspZSY3aKmwQe7O77fCC,0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,4.0,0.0427,81,eternal sunshine,Today's Top Hits,we can't be friends (wait for your love),3.04e-05,1.0,5.0,0.0615,mainstream,,,,
6tNQ70jh4OwmPGpYy6R2o9,0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3.0,0.0603,85,beautiful things,Today's Top Hits,Beautiful Things,0.0,1.0,10.0,0.151,mainstream,,,,
0qeIFEGRQqHoaJtLCl0U73,0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4.0,0.284,84,la pantera negra (deluxe),Today's Top Hits,DEGENERE 👑 (feat. benny blanco),0.0,0.0,6.0,0.0501,mainstream,,,,
6aJn7Cst74cj4lNIiPRgav,0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4.0,0.0442,85,touch,Today's Top Hits,Touch,1.03e-05,0.0,5.0,0.549,mainstream,7.6,"On roughly two-thirds of her sophomore album, Amerie combines her cutting yelps and gasps to Rich Harrison's D.C. go-go-rooted combination of Stax grit and Neptunes shine.","When Amerie's ""1 Thing"" finally hit radio this March, it sounded like the arrival of spring. The song jumped and wriggled and moved like nothing else on the radio: a huge, loose-limbed, roiling, sweaty, berserk drum break, greasy guitars stabs exploding like fireworks. Rich Harrison, who produced Beyonce's ""Crazy in Love"", made the track, and it has the same sense of dizzy sunkissed freedom. But its greatest asset is the voice that cut through the drums like a sword, yelping and gasping and screaming for joy.""1 Thing"" is the first track on R&B; singer Amerie Rogers' sophomore album Touch, and the album never again reaches the giddy heights of that song. It never could. ""1 Thing"" is all sweat and teeth and adrenaline. After that opening salvo, Rogers slowly settles into the pillowy, luxurious tracks that Harrison creates for her. Harrison's production has an organic core. He spent his formative years working in D.C. go-go, and his compositions have that loose-limbed swagger, relying heavily on sampled horn screams and weeping electric pianos. But his work never sounds like a throwback; his tracks all have a glossy, processed sheen.Amerie may be the perfect collaborator for Harrison's combination of Stax grit and Neptunes shine. Rogers has one of those thin, reedy voices popular on the radio right now; another producer would probably turn her into a sound effect, the way Lil Jon did with Ciara on ""Goodies"". But she has an urbane sophistication that sets her apart from the likes of Ashanti and Nivea; her precise jazz phrasing is the only saving grace on the mawkish ballad ""Just Like Me"". And when she has to, she brings out a fiery emotional center; on the breakup stomper ""Rolling Down My Face"", she squeezes across the song's tricky mix of regret and determination. Midway through the album, Rogers and Harrison come together perfectly for the second time on ""Talkin' About"", an impossibly catchy midtempo howler with a shifty drum track and the sort of glorious chorus hook that'll worm its way right into your brain. These two know each other well.Harrison produced eight of the 13 tracks on Touch, and too many of the other producers' tracks don't fit into his lush tapestry. Rogers can't do anything with Bryce Wilson's squelchy Neptunes keyboards on ""Not the Only One"". But Rogers brings her personality to tracks that wouldn't have worked otherwise. When Lil Jon shows up for the obligatory club track (the title track here), Rogers' frisky, coy vocal and a nimble little conga bit turn an otherwise leaden, paint-by-numbers crunk&b; track into a sexy little experiment with Latin freestyle. It may not be ""1 Thing"", but it'll do.",
17phhZDn6oGtzMe56NuWvj,0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3.0,0.0337,89,i've tried everything but therapy (part 1),Today's Top Hits,Lose Control,1.9e-05,1.0,9.0,0.199,mainstream,,,,
5uQ7de4EWjb3rkcFxyEOpu,0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,4.0,0.0282,82,belong together,Today's Top Hits,Belong Together,0.0,1.0,2.0,0.491,mainstream,,,,
6WatFBLVB0x077xWeoVc2k,0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,4.0,0.0469,93,si antes te hubiera conocido,Today's Top Hits,Si Antes Te Hubiera Conocido,0.000594,1.0,11.0,0.446,mainstream,,,,
3qhlB30KknSejmIvZZLjOD,0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4.0,0.0584,89,decide,Today's Top Hits,End of Beginning,0.00259,1.0,2.0,0.0351,mainstream,6.8,"On his second solo album, Stranger Things actor Joe Keery fights his way through the simulation with winking, off-kilter synth-pop.","Joe Keery knows what you are probably thinking—another actor with a musical side project? Ugh. To Keery’s credit, making music is more than a passing vanity project; before he found life-altering fame playing Steve Harrington, the reformed bad boy of Stranger Things, he played guitar in the Chicago psych-rock band Post Animal. Over the last few years, in between roles as a murderous rideshare driver and a beleagured video game designer, he’s been kicking around a solo synth-pop project called Djo. As suggested by the moniker, which is pronounced like his first name, it’s still him—but with a wink.Djo’s vibes-forward second album, Decide, conceals its anxieties about change and identity beneath an onslaught of synthesizers and Auto-Tune, often in the interest of fun but occasionally to its detriment. Written and produced alongside Adam Thein, Decide takes full advantage of studio wizardry. Opener “Runner” begins with a series of borderline 8-bit bleeps as Keery commits to growth—“People never change/But I have to try”—delivered in a crystal-clear falsetto. Soon enough, the song transitions into a slicker, chromatic sound, all vocodered vocals and savvy electronica that wraps up with a strangled shout. Sometimes, the full-bodied pastiche can’t hide some clunky lyricism. “I know my hair looked good in the bathroom at the bar/Turns out I left my wallet at the bathroom bar” goes one such line on the Talking Heads-esque “Gloom.” An exploration of the pitfalls of ego—and potentially good-natured jab at his own famous mane—it’s a charming attempt at nodding to his audience, even if his songwriting isn't quite up for the challenge.It is ironic, then, that the best tracks on Decide tend to be the longer ones, when Keery’s instrumental impulses are allowed to spiral in unexpected directions (those psych rock roots die hard). While agonizing over the grip of social media, “Half Life” toggles between ominous stillness and bursts of sparkly brightness in a manner that evokes a dopamine loop. “On and On,” a song about doomscrolling, coasts along on a throbby wobble before skyrocketing into an arena rock-sized percussion breakdown.Decide is a fun, off-kilter synth-pop album that proves Keery’s talent, but by its conclusion, a clearer picture of its maker fails to emerge. (One lovely exception is “End of Beginning” with its lyrics about returning to Chicago and reconnecting with a past version of himself.) As on his debut TWENTY TWENTY, Djo proudly reps influences like Daft Punk and Tame Impala, borrowing their tricks without adding much in the way of innovation. Still, the lack of personal revelations is forgivable: Keery has explicitly said that he hoped the Djo persona—he sports a ’70s bowl cut wig onstage and in promo pics—would help distance himself from his onscreen roles. There is something tragic about an album preoccupied with the fakeries of technology made by someone whose fans have as largely formed a relationship with him through the screen. But with Djo, he is finding his way through the simulation.",
2OzhQlSqBEmt7hmkYxfT6m,0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4.0,0.0308,84,the tortured poets department,Today's Top Hits,Fortnight (feat. Post Malone),1.53e-05,1.0,11.0,0.502,mainstream,,,,
0Sr7ssScx54yxdM2ols7nW,0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4.0,0.244,89,primera musa,Today's Top Hits,Q U E V A S H A C E R H O Y ?,0.0,0.0,6.0,0.103,mainstream,,,,
6AI3ezQ4o3HUoP6Dhudph3,0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4.0,0.0776,88,not like us,Today's Top Hits,Not Like Us,0.0,1.0,1.0,0.0107,mainstream,,,,
4p7DTkyrKqT98xlIwYYfXz,0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,4.0,0.0322,85,happy,Today's Top Hits,Running Wild,0.0,1.0,8.0,0.000175,mainstream,,,,
3mg9jYNC1NihbthlglzrWP,0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4.0,0.0981,84,+57,Today's Top Hits,+57,0.0,0.0,1.0,0.221,mainstream,,,,
0io16MKpbeDIdYzmGpQaES,0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4.0,0.0601,87,embrace it,Today's Top Hits,Embrace It,4.13e-05,1.0,1.0,0.475,mainstream,,,,
2PnlsTsOTLE5jnBnNe2K0A,0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4.0,0.0336,89,the emptiness machine,Today's Top Hits,The Emptiness Machine,0.0,1.0,7.0,0.0156,mainstream,,,,
7tI8dRuH2Yc6RuoTjxo4dU,0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,4.0,0.032,92,muse,Today's Top Hits,Who,0.0,0.0,0.0,0.00289,mainstream,,,,
40riOy7x9W7GXjyGp4pjAv,0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,4.0,0.027,81,hotel california (2013 remaster),Rock Classics,Hotel California - 2013 Remaster,0.000494,1.0,2.0,0.00574,classic,,,,
57bgtoPSgt236HzfBOd8kj,0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,4.0,0.0364,83,the razors edge,Rock Classics,Thunderstruck,0.0117,1.0,4.0,0.000147,classic,,,,
3dPQuX8Gs42Y7b454ybpMR,0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4.0,0.0683,82,elephant,Rock Classics,Seven Nation Army,0.118,0.0,4.0,0.0039,classic,6.9,"Church's Fried Chicken now sits at the crossroads of Highway 49 and Highway 61 in Clarksdale, Mississippi\n\ like ...","Church's Fried Chicken now sits at the crossroads of Highway 49 and Highway 61 in Clarksdale, Mississippi like an unaware, prefabricated neon mausoleum. While you can no longer barter your soul to Beelzebub for guitar-picking prowess, The Man will gladly exchange your eternal being for a place on the fryer and a hairnet. Or one may just opt for the Sweet Biscuit Crunchers and some Purple Pepper Sauce for a dollar. The tragicomic irony of a fast food joint squatting on the Valhalla of Delta Blues out-tarnishes our collective lore more than the Bus Stop of Gethsemane and adjoining Mount of Olives Hotel. And when you toss one of those sugary Sweet Biscuit Crunchers or gooey Honey-Butter Biscuits into your fat maw, you can let your mind drift to the thinly veiled sexual euphemisms of the blues, where biscuit almost certainly means ""vagina.""The Blues had been raped, exploited, stolen, diluted, rediscovered, reforgotten, and rendered meaningless countless times long before the Russian Mafia kept hot on the heels of the Blues Brothers 2000 and the House of Blues primarily showcased Wu-Tang side projects and Godsmack. Now, nearly a century after its birth, a non-ironic, post-Jon Spencer form of the Blues has risen again, ever so stubbornly and somnolently-- and naturally, it's being led by a couple of white kids. Jack White ahem not only namedrops Robert Johnson, he covers him. Summons him. Wears the same little derby as him. And on ""Ball and Biscuit"", the album-stretching stomper of the White Stripes' fourth album, White moans, ""Let's have a ball and a biscuit, sugar."" It's all too plainly clear what he means.What's less clear on the track (and the rest of Elephant), however, is just what Jack White intends. Certainly, one of his goals is to simply Rock, which his shit-hot guitar solos do bombastically; those Sears-Roebucks pickups buzz and screech like atomic harmonicas on the album's best songs. But beyond this, White struggles to tenuously weld a growing amalgam of contradictions and genre experiments with a veneer of schtick, persona and Fonzie cool, while Meg's pancake-handed drumming drips solvent over the whole experiment.The problem is that Jack White aims to honor his diverse heroes with too limited a palette; it's like paying tribute to Edward Hopper, Ansel Adams, Robert Colescott, and Georgia O'Keeffe in mural with a foot-pump-operated Wagner Power Painter and buckets of red and white. ""Hypnotize"" valiantly strives for The Stooges, while ""Girl, You Have No Faith in Medicine"" gives up four fingers to a butcher's knife on the altar of Led Zeppelin. But Jack White is no Jim Page (nor Osterberg), and suggestions to the contrary will earn you an explanation at the end of the Questionable Musical Taste line on judgment day. Meg White, meanwhile, pleads to her man on ""In the Cold, Cold Night"" like a coy Mo Tucker or Georgia Hubley-- more so than take-no-sass Patsy Cline or Dusty in Memphis. Linty in Arkadelphia, perhaps.",
70LcF31zb1H0PyJoS1Sx1r,0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,4.0,0.0372,86,pablo honey,Rock Classics,Creep,0.000133,1.0,7.0,0.0097,classic,,,,
4P5KoWXOxwuobLmHXLMobV,0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,4.0,0.0388,76,nevermind (remastered),Rock Classics,Come As You Are,0.00161,0.0,4.0,0.00016,classic,,,,
48UPSzbZjgc449aqz8bxox,0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,4.0,0.027,81,californication (deluxe edition),Rock Classics,Californication,0.00165,0.0,9.0,0.0021,classic,,,,
7snQQk1zcKl8gZ92AnueZW,0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4.0,0.0522,84,appetite for destruction,Rock Classics,Sweet Child O' Mine,0.0843,1.0,6.0,0.09,classic,10.0,"The debut from Guns N' Roses was a watershed moment in '80s rock that chronicled every vice of Los Angeles led by the lye-voiced Axl Rose and a legendary, switchblade-sharp band.","The video for “Welcome to the Jungle,” Appetite for Destruction’s mission statement, mirrors the journey that an unsuspecting listener might take during their first spin through Guns N’ Roses’ 1987 debut. A fresh-faced, 25-year-old Axl Rose, so country that he’s got a long stalk of wheat between his teeth, gets off a bus and enters a landscape that screams “bad side of town”; neon lights flash darkly, a shady guy perched on the corner approaches him, black-stockinged legs catch Axl’s eye. Cut to a similarly dank club where, with the aid of Aqua Net, Axl and the rest of Guns N’ Roses are barreling through the track, while TVs flicker into A Clockwork Orange-style fantasia about the bad news lurking all around.The electric opening notes, played with sputtering enthusiasm by lead guitarist Slash, only hint at the terror that’s coming; Axl’s under-his-breath “Oh my god” cranks up the tension; and then, aided by Steven Adler’s lightly swinging drums and backing vocals that recall a demon choir, the full horror is exposed—a world where every vice is for sale depending on your mood for indulgence and your tolerance for sin. The chugging breakdown, which culminates in Axl’s shrieked “You know where you are? You’re in the jungle, baby! You’re gonna diiiieeeeeaagghghhhhhghghghgh,” is “Tubular Bells” through a Marshall stack, a horror movie in miniature for anyone who thought the rock’n’roll lifestyle was all fun and games.Amid the bumper crop of records from ’80s bands who graduated from Sunset Strip clubs to MTV’s newly minted  “Headbangers Ball”—the self-titled debuts from glam brats Faster Pussycat and biker-bloozers L.A. Guns—Appetite stood out for how absolutely harsh it got, its chronicles of the wild life in Los Angeles plainly stated by the lye-voiced Axl while his bandmates bobbed and thrashed. The Los Angeles portrayed on Appetite inverts the ideal of Randy Newman’s ever-lovable metropolis, turning it into a place where the then-in-vogue term “drug war” meant fighting with the spectre of heroin (aka “Mr. Brownstone”), where trickle-down economics meant buying cheap hooch on the last scraps of credit, and where paranoid fantasies were always justified. Women were beautiful and you could even put the ones with less utility in their place every so often. It was the jungle, baby, and you were gonna die.Appetite for Destruction didn’t only stand out because of its storm of bad vibes, although that sure helped. The band’s stew of influences—caustic punk, sinewy funk, Aerosmith, the Stones—helped make it a switchblade-sharp statement of intent. “In the last year, I’ve spent over $1,300 on cassettes, everything from Slayer to Wham! to listen to production, vocals, melodies, this and that,” Axl told the UK music magazine Sounds in 1987, and while Mike Clink’s economical production doesn’t have the gloss of Wham!’s Make It Big, studying influences beyond the glammed-up bills at the Troubadour  played a large part in the band’s sound.",
63T7DJ1AFDD6Bn8VzG6JE8,0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,4.0,0.0926,81,aftermath,Rock Classics,"Paint It, Black",0.00244,1.0,1.0,0.0493,classic,,,,
0ofHAoxe9vBkTCp2UQIavz,0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,4.0,0.0276,84,rumours (super deluxe),Rock Classics,Dreams - 2004 Remaster,0.00428,1.0,0.0,0.0644,classic,,,,
5UWwZ5lm5PKu6eKsHAGxOk,0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,4.0,0.0367,81,the colour and the shape,Rock Classics,Everlong,0.000308,0.0,11.0,5.99e-05,classic,,,,
2Cdvbe2G4hZsnhNMKyGrie,0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4.0,0.0431,77,i love rock 'n' roll (expanded edition),Rock Classics,I Love Rock 'N Roll,0.0,1.0,4.0,0.326,classic,,,,
6zeE5tKyr8Nu882DQhhSQI,0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,4.0,0.0283,79,point of know return (expanded edition),Rock Classics,Dust in the Wind,0.00056,1.0,7.0,0.367,classic,,,,
4gMgiXfqyzZLMhsksGmbQV,0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,4.0,0.0428,74,the wall,Rock Classics,"Another Brick in the Wall, Pt. 2",0.000694,1.0,0.0,0.0782,classic,,,,
0X1sqQ652p1sceKM2nJlIJ,0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,4.0,0.0637,72,bon jovi,Rock Classics,Runaway,1.91e-05,0.0,9.0,0.00375,classic,,,,
